Timuel,80,43,95,65,85,,368,325
alextrof,47,80,-,95,95,,317,317
Alin4ik*,90,85,49,54,-,,278,278
Johnny23,95,45,100,36,-,,276,276
JeSSter,54,70,48,100,52,,324,276
AndreyRedWhite,85,33,50,46,90,,304,271
Damet,75,95,46,47,-,,263,263
smerch,46,44,70,45,54,,259,215
goodboy20,48,-,-,80,75,,203,203
epic_rombeo,-,100,47,48,-,,195,195
Пaша,44,60,38,52,-,,194,194
Dynb,-,-,-,90,100,,190,190
SobakaXacku228,37,47,-,49,48,,181,181
tais_kirakosova,-,65,60,50,-,,175,175
knopa_kio,28,41,44,34,51,,198,170
Pastafar,-,34,43,85,-,,162,162
Ferron,53,54,52,-,-,,159,159
ekgs,43,30,80,-,-,,153,153
Zim44,-,55,55,42,-,,152,152
SonraDR,26,51,-,75,-,,152,152
happy_miller,65,-,39,-,46,,150,150
Barik91,-,90,54,-,-,,144,144
butters853,-,75,-,-,65,,140,140
ГосподинЗаяц,-,-,90,-,49,,139,139
Spn,60,-,75,-,-,,135,135
IliNik,-,-,-,53,80,,133,133
Mayushi,31,46,51,-,-,,128,128
Psiha,-,26,-,51,50,,127,127
nikitasnz,-,31,42,-,45,,118,118
NektoIsMadi,-,48,-,-,70,,118,118
RamDozor,-,-,53,60,-,,113,113
Grozzza,30,-,-,38,44,,112,112
Pauleta,27,49,35,-,-,,111,111
enot_chan,-,-,65,-,43,,108,108
arda,22,35,-,-,47,,104,104
Aurk,-,-,-,41,60,,101,101
Luke_,100,-,-,-,-,,100,100
just do it!,49,50,-,-,-,,99,99
Julkaqq,-,24,31,-,40,,95,95
=Galka=,-,52,40,-,-,,92,92
duchess_Lilu,55,-,-,37,-,,92,92
Semak_Millev,-,39,-,-,53,,92,92
Jericho2H,-,-,34,-,55,,89,89
Leshik Q,-,-,85,-,-,,85,85
Foren,29,53,-,-,-,,82,82
mironWE,-,-,-,39,39,,78,78
pst,39,38,-,-,-,,77,77
