МОКсБиШ,100,100,,,,,200,100
Поручик Ржевский,95,90,,,,,185,95
Тедди Бир,,95,,,,,95,95
MZ#98,90,75,,,,,165,90
RamP.S.ы,85,65,,,,,150,85
*SSS*,55,85,,,,,140,85
InTeam EN,80,,,,,,80,80
МЖМ,,80,,,,,80,80
Тлен&Безысходность,75,70,,,,,145,75
Mr. Spark на бэхе,70,,,,,,70,70
Пупочный мех,65,,,,,,65,65
Ничего особенного,60,,,,,,60,60
Dzu и его воображаемые друзья,,60,,,,,60,60
ТП team,,55,,,,,55,55
Дратутим)0)),54,,,,,,54,54
ЯростныеНовисы,,54,,,,,54,54
Школота!!!,53,,,,,,53,53
НеСтандарт,,53,,,,,53,53
t_prns[nesolo_(:Y:)],52,,,,,,52,52
Одинокая тучка,,52,,,,,52,52
Команда А [EN version],51,,,,,,51,51
БарСук,,51,,,,,51,51
Горизонт событий,50,,,,,,50,50
Не_ЗвёздЫ_,,50,,,,,50,50
CovEN,49,,,,,,49,49
150+150,,49,,,,,49,49
Заряженные Баночки,,48,,,,,48,48
Слабоумие и Отвага,,47,,,,,47,47
